base_seed,weighted_total,N1_score,N2_score,N4_score,N8_score,N16_score,N32_score,N64_score,N128_score,N256_score,N512_score,N1_reason,N2_reason,N4_reason,N8_reason,N16_reason,N32_reason,N64_reason,N128_reason,N256_reason,N512_reason
20260516,732.349206,80,150,150,360,240,540,900,640,340,530,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20270523,788.746032,100,80,160,410,450,680,510,460,650,870,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20280530,767.250000,40,130,200,340,510,570,630,770,660,540,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20290537,732.194444,80,110,270,420,440,280,420,550,520,810,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20300544,675.246032,50,180,180,160,640,420,510,420,620,430,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20310551,650.785714,70,120,130,330,480,480,520,160,600,580,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20320558,752.313492,100,70,180,340,450,600,450,490,880,590,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20330565,682.845238,60,70,120,310,250,240,640,690,1050,860,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20340572,672.547619,40,80,190,240,470,590,600,580,870,220,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
20350579,814.547619,70,120,240,350,510,540,320,840,750,910,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
